Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 739",6.389746260187e-01,2.159995606005e-03,-2.227543174254e-05,2.182271037748e-03,-1.102273234745e-03
"                 740",6.389969087932e-01,2.174854818586e-03,-3.033258794396e-05,2.205187406530e-03,-1.117759997237e-03
"                 741",6.390374395908e-01,2.175783764293e-03,-3.127257178994e-05,2.207056336082e-03,-1.119164453936e-03
"                 742",6.390692853827e-01,2.190559942416e-03,-3.881118395754e-05,2.229371126373e-03,-1.134091155166e-03
"                 743",6.391055451880e-01,2.193687879652e-03,-4.066161733588e-05,2.234349496988e-03,-1.137505557162e-03
"                 744",6.391361099472e-01,2.202250792741e-03,-4.404564607453e-05,2.246296438816e-03,-1.145171042445e-03
"                 745",6.391640852153e-01,2.204236235365e-03,-4.774329800090e-05,2.251979533366e-03,-1.149861415683e-03
"                 746",6.391918523800e-01,2.206317007188e-03,-4.648961366790e-05,2.252806620856e-03,-1.149648117262e-03
"                 747",6.392080517128e-01,2.198305557419e-03,-4.382391428266e-05,2.242129471701e-03,-1.142976692992e-03
"                 748",6.392113304014e-01,2.203545797245e-03,-4.652456574665e-05,2.250070362992e-03,-1.148297464369e-03
"                 749",6.392259275467e-01,2.189269162774e-03,-3.944379287291e-05,2.228712955647e-03,-1.134078374260e-03
"                 750",6.392255170560e-01,2.183156824067e-03,-3.510149096756e-05,2.218258315034e-03,-1.126679903001e-03
"                 751",6.392208637825e-01,2.171465678043e-03,-3.131832598686e-05,2.202784004030e-03,-1.117051165009e-03
"                 752",6.392169244107e-01,2.164237855536e-03,-2.533059839575e-05,2.189568453932e-03,-1.107449526164e-03
"                 753",6.392189265306e-01,2.147326661962e-03,-1.818110346866e-05,2.165507765431e-03,-1.091844434450e-03
"                 754",6.392203320027e-01,2.147697502377e-03,-1.829469407595e-05,2.165992196453e-03,-1.092143445264e-03
"                 755",6.392361028489e-01,2.139767659760e-03,-1.497262001374e-05,2.154740279773e-03,-1.084856449894e-03
"                 756",6.392490524347e-01,2.146745330756e-03,-1.816903382700e-05,2.164914364583e-03,-1.091541699205e-03
"                 757",6.392778657810e-01,2.143421242436e-03,-1.775684304375e-05,2.161178085479e-03,-1.089467464262e-03
"                 758",6.393025138005e-01,2.156888352696e-03,-2.420568797839e-05,2.181094040674e-03,-1.102649864326e-03
"                 759",6.393399579528e-01,2.159543044483e-03,-2.614100796946e-05,2.185684052453e-03,-1.105912530211e-03
"                 760",6.393734717423e-01,2.170142939972e-03,-3.043979999684e-05,2.200582739969e-03,-1.115511269983e-03
"                 761",6.394065352198e-01,2.176143031976e-03,-3.629198903962e-05,2.212435021015e-03,-1.124363505028e-03
"                 762",6.394437249180e-01,2.183576544337e-03,-3.775916186639e-05,2.221335706204e-03,-1.129547434035e-03
"                 763",6.394692997515e-01,2.182258088722e-03,-3.878284809202e-05,2.221040936814e-03,-1.129911892453e-03
"                 764",6.394841870327e-01,2.193453455874e-03,-4.436023393977e-05,2.237813689814e-03,-1.141086961877e-03
"                 765",6.395050291725e-01,2.186252430536e-03,-4.107833211426e-05,2.227330762651e-03,-1.134204547382e-03
"                 766",6.395155531172e-01,2.183429957818e-03,-3.845880151584e-05,2.221888759334e-03,-1.130173780425e-03
"                 767",6.395172352642e-01,2.176642289384e-03,-3.755440591828e-05,2.214196695302e-03,-1.125875550610e-03
"                 768",6.395159419249e-01,2.172643378384e-03,-3.282769171519e-05,2.205471070099e-03,-1.119149380907e-03
"                 769",6.395172054634e-01,2.154407782219e-03,-2.478551414756e-05,2.179193296367e-03,-1.101989405257e-03
"                 770",6.395080720954e-01,2.150293596599e-03,-2.239184356601e-05,2.172685440165e-03,-1.097538641865e-03
"                 771",6.395104454432e-01,2.132892405766e-03,-1.401118256940e-05,2.146903588335e-03,-1.080457385452e-03
"                 772",6.395095750095e-01,2.130680120219e-03,-1.213317211197e-05,2.142813292331e-03,-1.077473232221e-03
